epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,67.192,0.544,0.66282,1.05033,0.76132,0.38885,0.59522,0.3409,1.75989,2.37138,1.48414,1.16739e-05,1.16739e-05,1.16739e-05
92,67.8093,0.64109,0.67239,1.06931,0.77536,0.37689,0.59147,0.35581,1.74319,2.37461,1.46685,1.07315e-05,1.07315e-05,1.07315e-05
93,68.429,0.55145,0.52321,0.96635,0.77536,0.37689,0.59147,0.35581,1.74319,2.37461,1.46685,9.76562e-06,9.76562e-06,9.76562e-06
94,69.0702,0.67223,0.57603,1.04111,0.77536,0.37689,0.59147,0.35581,1.74319,2.37461,1.46685,8.77613e-06,8.77613e-06,8.77613e-06
95,69.6763,0.67923,0.6661,1.08509,0.77536,0.37689,0.59147,0.35581,1.74319,2.37461,1.46685,7.76308e-06,7.76308e-06,7.76308e-06
96,70.3188,0.61461,0.55233,0.91747,0.92389,0.38593,0.51146,0.37071,1.73046,2.37883,1.45278,6.72648e-06,6.72648e-06,6.72648e-06
97,70.945,0.55479,0.59665,1.03936,0.92389,0.38593,0.51146,0.37071,1.73046,2.37883,1.45278,5.6663e-06,5.6663e-06,5.6663e-06
98,71.5804,0.71113,0.56919,0.99176,0.92389,0.38593,0.51146,0.37071,1.73046,2.37883,1.45278,4.58257e-06,4.58257e-06,4.58257e-06
99,72.2156,0.63966,0.65207,1.06532,0.92389,0.38593,0.51146,0.37071,1.73046,2.37883,1.45278,3.47528e-06,3.47528e-06,3.47528e-06
100,72.8224,0.60315,0.59045,1.08123,0.92571,0.38953,0.51549,0.36411,1.72045,2.37388,1.43988,2.34442e-06,2.34442e-06,2.34442e-06
