epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1685.75,1.37209,0.53971,0.99225,0.99781,0.97919,0.99273,0.64801,1.4285,0.50847,1.00601,0.000145125,0.000145125,0.000145125
84,1705.83,1.36565,0.53761,0.97136,0.99789,0.97919,0.99312,0.64575,1.43166,0.50486,1.00609,0.000131581,0.000131581,0.000131581
85,1725.71,1.38401,0.53091,0.9871,0.99795,0.97919,0.99318,0.64824,1.43111,0.50547,1.00513,0.000118737,0.000118737,0.000118737
86,1745.68,1.3751,0.54295,0.98216,0.99685,0.97816,0.99191,0.64461,1.43194,0.50821,1.00609,0.000106608,0.000106608,0.000106608
87,1765.63,1.38614,0.53406,0.98732,0.9968,0.97816,0.99149,0.6467,1.42841,0.50725,1.00511,9.52034e-05,9.52034e-05,9.52034e-05
88,1785.93,1.38616,0.53413,0.97892,0.99688,0.97816,0.99139,0.64788,1.43186,0.50315,1.00618,8.4536e-05,8.4536e-05,8.4536e-05
89,1805.81,1.38863,0.53738,0.98648,0.99685,0.97816,0.99153,0.64824,1.43055,0.50449,1.00569,7.4616e-05,7.4616e-05,7.4616e-05
90,1825.76,1.37758,0.53061,0.98534,0.9968,0.97816,0.99156,0.6451,1.42848,0.50544,1.00533,6.54531e-05,6.54531e-05,6.54531e-05
91,1865.66,1.3986,0.51162,1.0331,0.99688,0.97816,0.99144,0.64491,1.43174,0.50558,1.00655,5.70564e-05,5.70564e-05,5.70564e-05
92,1885.67,1.39885,0.49814,1.04156,0.99494,0.97816,0.98955,0.64463,1.42738,0.50619,1.00579,4.94343e-05,4.94343e-05,4.94343e-05
93,1905.6,1.39519,0.50093,1.03462,0.98858,0.97816,0.9847,0.63995,1.42554,0.51061,1.00487,4.25941e-05,4.25941e-05,4.25941e-05
94,1925.32,1.40683,0.50499,1.04362,0.98556,0.97919,0.97904,0.63149,1.42535,0.51424,1.0049,3.65426e-05,3.65426e-05,3.65426e-05
95,1945.03,1.38893,0.50003,1.03345,0.97669,0.98022,0.97235,0.62718,1.42603,0.52003,1.00493,3.12859e-05,3.12859e-05,3.12859e-05
96,1964.81,1.40353,0.50821,1.02865,0.98826,0.98022,0.98272,0.63446,1.42637,0.51095,1.00478,2.68292e-05,2.68292e-05,2.68292e-05
97,1984.56,1.40809,0.50276,1.0336,0.99324,0.98022,0.98705,0.63884,1.42612,0.50625,1.00454,2.31767e-05,2.31767e-05,2.31767e-05
98,2004.28,1.39484,0.49976,1.03287,0.99761,0.98022,0.99112,0.64512,1.42772,0.50155,1.00464,2.03321e-05,2.03321e-05,2.03321e-05
99,2023.96,1.40325,0.49741,1.03115,0.99484,0.98022,0.98837,0.64338,1.42643,0.50186,1.00449,1.82983e-05,1.82983e-05,1.82983e-05
100,2043.95,1.40535,0.50147,1.03758,0.99469,0.98022,0.98819,0.64115,1.42669,0.50301,1.00457,1.70772e-05,1.70772e-05,1.70772e-05
