epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,26274.4,0.81762,3.42819,0.24141,0.52282,1.11862,0.97297,0.97263,0.98959,0.79757,0.86722,0.81519,0.8319,0.63026,0.88932,2.15863,0.04845,0.3938,1.07446,0.000789327,0.000789327,0.000789327
85,26563.5,0.81898,3.40378,0.23963,0.52315,1.11878,0.97315,0.97259,0.98965,0.79759,0.86711,0.81564,0.83251,0.63174,0.88933,2.15241,0.04831,0.39376,1.07444,0.000712282,0.000712282,0.000712282
86,26853,0.82029,3.40502,0.24052,0.52557,1.12082,0.97326,0.97259,0.98969,0.79758,0.86808,0.81577,0.83267,0.6331,0.88915,2.14661,0.04817,0.39374,1.07424,0.000639518,0.000639518,0.000639518
87,27143.3,0.81644,3.39955,0.24126,0.52089,1.11758,0.97322,0.97246,0.9897,0.79777,0.86717,0.81605,0.83283,0.63405,0.88916,2.14071,0.04803,0.3937,1.07419,0.000571106,0.000571106,0.000571106
88,27432.8,0.81514,3.38006,0.23858,0.52019,1.11822,0.97322,0.97246,0.98971,0.79773,0.86753,0.81611,0.83279,0.63504,0.88923,2.1348,0.04788,0.39372,1.07426,0.000507115,0.000507115,0.000507115
89,27721.9,0.81746,3.39193,0.23922,0.52133,1.11746,0.97297,0.97262,0.98968,0.79768,0.86773,0.81583,0.83291,0.63618,0.88926,2.12925,0.04776,0.39372,1.07427,0.000447606,0.000447606,0.000447606
90,28011,0.81453,3.36141,0.24025,0.52331,1.11745,0.9732,0.97218,0.98958,0.79766,0.86772,0.8157,0.83271,0.63747,0.8893,2.12387,0.04762,0.39366,1.07427,0.00039264,0.00039264,0.00039264
91,28324.3,0.66807,2.42015,0.08346,0.37579,1.0497,0.97327,0.97234,0.98969,0.79813,0.86811,0.81603,0.83335,0.63867,0.88836,2.11794,0.04719,0.39335,1.0737,0.00034227,0.00034227,0.00034227
92,28612.1,0.67047,2.3959,0.08186,0.36845,1.0526,0.97326,0.97221,0.98969,0.79868,0.86834,0.81685,0.83465,0.64025,0.88732,2.11208,0.04665,0.39298,1.0731,0.000296546,0.000296546,0.000296546
93,28899.9,0.6646,2.37997,0.07964,0.36627,1.04639,0.97344,0.97246,0.98969,0.79917,0.86867,0.81665,0.83549,0.64134,0.88601,2.10595,0.04609,0.39257,1.07239,0.000255513,0.000255513,0.000255513
94,29191.4,0.6663,2.36109,0.07684,0.36345,1.04678,0.97321,0.97251,0.98972,0.79962,0.86868,0.81673,0.8364,0.64289,0.885,2.10004,0.04553,0.39219,1.07181,0.000219212,0.000219212,0.000219212
95,29480.7,0.66607,2.3528,0.0756,0.36381,1.04922,0.97321,0.97245,0.98973,0.79997,0.86965,0.81737,0.8375,0.64457,0.88407,2.09418,0.04497,0.3918,1.07126,0.000187678,0.000187678,0.000187678
96,29768.8,0.66467,2.36282,0.07668,0.36257,1.04919,0.97321,0.97233,0.98974,0.80039,0.86942,0.81774,0.83857,0.64641,0.88288,2.08822,0.04442,0.39132,1.07054,0.000160943,0.000160943,0.000160943
97,30058.8,0.66004,2.35069,0.07833,0.36011,1.04713,0.97309,0.97255,0.98974,0.80077,0.86822,0.81737,0.83874,0.64836,0.88197,2.08253,0.04387,0.391,1.06997,0.000139032,0.000139032,0.000139032
98,30347.1,0.65968,2.33818,0.07589,0.36174,1.04573,0.97334,0.97265,0.98976,0.80105,0.86879,0.81801,0.84025,0.65004,0.88106,2.07709,0.04333,0.39057,1.06941,0.000121968,0.000121968,0.000121968
99,30634.8,0.65766,2.34359,0.07679,0.35945,1.04514,0.97309,0.97273,0.98968,0.80139,0.86877,0.81826,0.84065,0.65147,0.88018,2.07167,0.04283,0.3902,1.0689,0.000109768,0.000109768,0.000109768
100,30930.2,0.65926,2.34564,0.07617,0.35919,1.0473,0.97309,0.97275,0.98968,0.80165,0.86971,0.81878,0.84119,0.653,0.87936,2.06645,0.04233,0.38984,1.06843,0.000102443,0.000102443,0.000102443
